#	File	generated	by	CMD	3	(http://stev.oapd.inaf.it/cmd)	on	Sat	May	12	9:01:47	CEST	2018																	
#	isochrones	PARSEC	release	v1.2S	+	COLIBRI	release	"PR16,"	as	in	Marigo	et	al.	2017																
#	Basic	reference:	Marigo	et	al.	"(2017),"	"ApJ,"	"835,"	77																					
#	Photometric	system:	<i>UBVRIJHK</i>	(cf.	Maiz-Apellaniz	2006	+	Bessell	1990)																					
#	O-rich	circumstellar	dust	ignored																										
#	C-rich	circumstellar	dust	ignored																										
#	Kind	of	output:	isochrone	tables																									
#Zini	Age	Mini	Mass	logL	logTe	logg	label	McoreTP	C_O	period0	period1	pmode	Mloss	tau1m	X	Y	Xc	Xn	Xo	Cexcess	Z	mbolmag	Umag	Bmag	Vmag	Rmag	Imag	Jmag	Hmag	Kmag
0.01853	1.35E+09	0.5	0.5	-1.502	3.5425	4.761	0	0	0.545	0	0	-1	2.33E-15	0	7.00E-01	2.82E-01	3.34E-03	9.02E-04	8.18E-03	-1	1.86E-02	8.525	12.966	11.631	10.151	9.113	7.908	6.759	6.195	5.957
0.01853	1.35E+09	0.525646687	0.526	-1.42	3.5514	4.736	0	0	0.545	0	0	-1	2.83E-15	0	7.01E-01	2.80E-01	3.33E-03	8.98E-04	8.15E-03	-1	1.85E-02	8.32	12.627	11.304	9.844	8.833	7.685	6.575	6.001	5.769
0.01853	1.35E+09	0.533972561	0.534	-1.394	3.5542	4.728	0	0	0.545	0	0	-1	3.00E-15	0	7.02E-01	2.80E-01	3.32E-03	8.97E-04	8.13E-03	-1	1.85E-02	8.255	12.522	11.202	9.748	8.746	7.615	6.518	5.94	5.71
0.01853	1.35E+09	0.550000012	0.55	-1.345	3.5596	4.714	0	0	0.545	0	0	-1	3.37E-15	0	7.03E-01	2.79E-01	3.31E-03	8.93E-04	8.10E-03	-1	1.84E-02	8.133	12.332	11.014	9.57	8.582	7.484	6.409	5.825	5.601
0.01853	1.35E+09	0.588701963	0.589	-1.221	3.5768	4.687	0	0	0.545	0	0	-1	4.47E-15	0	7.03E-01	2.78E-01	3.31E-03	8.92E-04	8.09E-03	-1	1.84E-02	7.822	11.797	10.535	9.149	8.19	7.152	6.115	5.521	5.321
0.01853	1.35E+09	0.600000024	0.6	-1.186	3.5816	4.68	0	0	0.545	0	0	-1	4.84E-15	0	7.03E-01	2.78E-01	3.31E-03	8.92E-04	8.09E-03	-1	1.84E-02	7.735	11.633	10.416	9.059	8.101	7.062	6.022	5.43	5.238
0.01853	1.35E+09	0.60655278	0.606	-1.164	3.5851	4.677	0	0	0.545	0	0	-1	5.07E-15	0	7.03E-01	2.78E-01	3.30E-03	8.91E-04	8.09E-03	-1	1.84E-02	7.681	11.503	10.316	8.98	8.029	7.007	5.971	5.373	5.191
0.01853	1.35E+09	0.649999976	0.65	-1.026	3.6078	4.66	0	0	0.545	0	0	-1	6.87E-15	0	7.04E-01	2.78E-01	3.30E-03	8.90E-04	8.08E-03	-1	1.84E-02	7.335	10.589	9.505	8.258	7.418	6.669	5.742	5.046	4.929
0.01853	1.35E+09	0.700000048	0.7	-0.872	3.6357	4.65	1	0	0.545	0	0	-1	9.56E-15	0	7.04E-01	2.77E-01	3.30E-03	8.89E-04	8.07E-03	-1	1.83E-02	6.949	9.823	8.804	7.633	6.883	6.279	5.442	4.754	4.66
0.01853	1.35E+09	0.704256356	0.705	-0.858	3.6384	4.65	1	0	0.544	0	0	-1	9.82E-15	0	7.04E-01	2.77E-01	3.29E-03	8.89E-04	8.07E-03	-1	1.83E-02	6.916	9.747	8.74	7.579	6.837	6.244	5.417	4.733	4.641
0.01853	1.35E+09	0.75	0.75	-0.721	3.6661	4.651	1	0	0.537	0	0	-1	1.30E-14	0	7.05E-01	2.77E-01	3.25E-03	8.87E-04	8.06E-03	-1	1.83E-02	6.573	8.93	8.084	7.031	6.385	5.879	5.149	4.541	4.467
0.01853	1.35E+09	0.799500287	0.8	-0.592	3.6859	4.628	1	0	0.537	0	0	-1	1.74E-14	0	7.05E-01	2.77E-01	3.24E-03	8.86E-04	8.05E-03	-1	1.83E-02	6.249	8.256	7.558	6.58	6.003	5.543	4.885	4.34	4.277
0.01853	1.35E+09	0.849000573	0.849	-0.467	3.7048	4.604	1	0	0.537	0	0	-1	2.32E-14	0	7.06E-01	2.76E-01	3.24E-03	8.84E-04	8.03E-03	-1	1.82E-02	5.936	7.628	7.077	6.172	5.652	5.229	4.636	4.148	4.094
0.01853	1.35E+09	0.8985008	0.898	-0.347	3.7223	4.58	1	0	0.537	0	0	-1	3.05E-14	0	7.07E-01	2.75E-01	3.23E-03	8.81E-04	8.01E-03	-1	1.82E-02	5.638	7.052	6.639	5.801	5.329	4.938	4.401	3.964	3.917
0.01853	1.35E+09	0.948001146	0.948	-0.233	3.7382	4.552	1	0	0.537	0	0	-1	4.00E-14	0	7.08E-01	2.74E-01	3.22E-03	8.79E-04	7.98E-03	-1	1.82E-02	5.352	6.528	6.236	5.464	5.03	4.665	4.178	3.783	3.741
0.01853	1.35E+09	0.997501373	0.998	-0.122	3.7526	4.521	1	0	0.537	0	0	-1	5.21E-14	0	7.09E-01	2.73E-01	3.20E-03	8.75E-04	7.95E-03	-1	1.80E-02	5.075	6.058	5.863	5.153	4.751	4.408	3.963	3.602	3.565
0.01853	1.35E+09	1.004829764	1.005	-0.106	3.7546	4.516	1	0	0.537	0	0	-1	5.36E-14	0	7.10E-01	2.72E-01	3.20E-03	8.74E-04	7.94E-03	-1	1.80E-02	5.035	5.994	5.81	5.109	4.71	4.372	3.931	3.575	3.539
0.01853	1.35E+09	1.0470016	1.047	-0.015	3.7655	4.487	1	0	0.537	0	0	-1	6.32E-14	0	7.11E-01	2.71E-01	3.18E-03	8.69E-04	7.90E-03	-1	1.79E-02	4.807	5.633	5.514	4.86	4.484	4.163	3.752	3.421	3.389
0.01853	1.35E+09	1.075695276	1.075	0.046	3.7723	4.465	1	0	0.537	0	0	-1	7.02E-14	0	7.13E-01	2.69E-01	3.17E-03	8.65E-04	7.86E-03	-1	1.78E-02	4.655	5.408	5.322	4.698	4.335	4.024	3.632	3.316	3.286
0.01853	1.35E+09	1.096502066	1.096	0.089	3.7771	4.449	1	0	0.537	0	0	-1	7.57E-14	0	7.15E-01	2.68E-01	3.15E-03	8.61E-04	7.83E-03	-1	1.78E-02	4.547	5.249	5.186	4.582	4.229	3.925	3.546	3.241	3.212
0.01853	1.35E+09	1.099170089	1.099	0.095	3.7777	4.447	1	0	0.537	0	0	-1	7.64E-14	0	7.15E-01	2.68E-01	3.15E-03	8.61E-04	7.82E-03	-1	1.78E-02	4.533	5.229	5.169	4.567	4.215	3.913	3.535	3.231	3.202
0.01853	1.35E+09	1.146002293	1.145	0.19	3.7876	4.409	1	0	0.537	0	0	-1	8.97E-14	0	7.19E-01	2.63E-01	3.10E-03	8.48E-04	7.71E-03	-1	1.76E-02	4.295	4.899	4.877	4.316	3.983	3.696	3.344	3.061	3.036
0.01853	1.35E+09	1.19550252	1.195	0.288	3.7973	4.369	1	0	0.536	0	0	-1	1.05E-13	0	7.23E-01	2.60E-01	3.08E-03	8.42E-04	7.65E-03	-1	1.74E-02	4.051	4.577	4.583	4.061	3.747	3.475	3.147	2.885	2.862
0.01853	1.35E+09	1.208561063	1.208	0.313	3.7997	4.358	1	0	0.536	0	0	-1	1.09E-13	0	7.23E-01	2.60E-01	3.08E-03	8.43E-04	7.66E-03	-1	1.74E-02	3.988	4.497	4.507	3.996	3.686	3.418	3.096	2.839	2.816
0.01853	1.35E+09	1.245002747	1.245	0.382	3.8063	4.328	1	0	0.536	0	0	-1	1.21E-13	0	7.22E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	3.816	4.279	4.302	3.817	3.52	3.262	2.957	2.713	2.691
0.01853	1.35E+09	1.284731388	1.285	0.453	3.8128	4.297	1	0	0.536	0	0	-1	1.32E-13	0	7.23E-01	2.60E-01	3.09E-03	8.45E-04	7.69E-03	-1	1.75E-02	3.638	4.064	4.094	3.633	3.349	3.102	2.812	2.582	2.562
0.01853	1.35E+09	1.294502974	1.295	0.47	3.8143	4.289	1	0	0.536	0	0	-1	1.35E-13	0	7.23E-01	2.60E-01	3.09E-03	8.45E-04	7.69E-03	-1	1.75E-02	3.595	4.012	4.044	3.588	3.308	3.064	2.777	2.55	2.53
0.01853	1.35E+09	1.307446241	1.308	0.492	3.8163	4.28	1	0	0.536	0	0	-1	1.38E-13	0	7.23E-01	2.60E-01	3.09E-03	8.45E-04	7.69E-03	-1	1.75E-02	3.54	3.946	3.979	3.531	3.255	3.014	2.732	2.509	2.49
0.01853	1.35E+09	1.344003439	1.344	0.554	3.8217	4.252	1	0	0.536	0	0	-1	1.47E-13	0	7.23E-01	2.60E-01	3.09E-03	8.45E-04	7.69E-03	-1	1.75E-02	3.386	3.764	3.8	3.373	3.107	2.875	2.605	2.393	2.375
0.01853	1.35E+09	1.357074738	1.357	0.575	3.8236	4.242	1	0	0.536	0	0	-1	1.50E-13	0	7.23E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	3.333	3.703	3.739	3.318	3.056	2.827	2.562	2.354	2.336
0.01853	1.35E+09	1.393503666	1.394	0.633	3.8286	4.215	1	0	0.536	0	0	-1	1.56E-13	0	7.22E-01	2.61E-01	3.10E-03	8.48E-04	7.71E-03	-1	1.75E-02	3.187	3.537	3.572	3.168	2.916	2.696	2.443	2.245	2.228
0.01853	1.35E+09	1.443003893	1.443	0.71	3.835	4.18	1	0	0.536	0	0	-1	1.60E-13	0	7.22E-01	2.61E-01	3.10E-03	8.47E-04	7.70E-03	-1	1.75E-02	2.995	3.32	3.353	2.971	2.732	2.523	2.285	2.101	2.084
0.01853	1.35E+09	1.49250412	1.493	0.784	3.8411	4.144	1	0	0.536	0	0	-1	1.56E-13	0	7.22E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	2.81	3.117	3.143	2.781	2.555	2.357	2.132	1.96	1.944
0.01853	1.35E+09	1.508529663	1.509	0.807	3.8428	4.133	1	0	0.536	0	0	-1	1.52E-13	0	7.22E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	2.752	3.054	3.078	2.722	2.499	2.304	2.083	1.915	1.899
0.01853	1.35E+09	1.542004466	1.542	0.855	3.8456	4.105	1	0	0.536	0	0	-1	1.44E-13	0	7.22E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	2.632	2.926	2.945	2.599	2.382	2.193	1.978	1.816	1.8
0.01853	1.35E+09	1.542149305	1.542	0.855	3.8457	4.105	1	0	0.536	0	0	-1	1.44E-13	0	7.22E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	2.631	2.926	2.944	2.598	2.381	2.193	1.978	1.815	1.799
0.01853	1.35E+09	1.571533561	1.572	0.897	3.848	4.081	1	0	0.536	0	0	-1	1.28E-13	0	7.23E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	2.528	2.817	2.831	2.492	2.281	2.096	1.887	1.729	1.713
0.01853	1.35E+09	1.591504812	1.591	0.925	3.8491	4.063	1	0	0.536	0	0	-1	1.19E-13	0	7.23E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	2.458	2.745	2.756	2.421	2.212	2.03	1.823	1.668	1.652
0.01853	1.35E+09	1.624272347	1.624	0.97	3.8508	4.034	1	0	0.536	0	0	-1	8.85E-14	0	7.22E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	2.346	2.629	2.635	2.307	2.102	1.923	1.72	1.568	1.553
0.01853	1.35E+09	1.641005039	1.641	0.993	3.8512	4.017	1	0	0.536	0	0	-1	7.65E-14	0	7.22E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	2.288	2.572	2.575	2.248	2.044	1.867	1.664	1.514	1.498
0.01853	1.35E+09	1.650081754	1.65	1.005	3.8514	4.008	1	0	0.536	0	0	-1	0	0	7.22E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	2.257	2.54	2.542	2.216	2.013	1.836	1.634	1.484	1.468
0.01853	1.35E+09	1.665755034	1.665	1.027	3.8513	3.99	1	0	0.536	0	0	-1	0	0	7.22E-01	2.60E-01	3.09E-03	8.46E-04	7.69E-03	-1	1.75E-02	2.203	2.487	2.487	2.162	1.959	1.782	1.58	1.43	1.414
0.01853	1.35E+09	1.674172044	1.674	1.038	3.8514	3.981	1	0	0.536	0	0	-1	0	0	7.22E-01	2.60E-01	3.10E-03	8.46E-04	7.70E-03	-1	1.75E-02	2.174	2.459	2.457	2.132	1.93	1.753	1.551	1.402	1.386
0.01853	1.35E+09	1.690505266	1.69	1.061	3.8513	3.962	1	0	0.536	0	0	-1	0	0	7.22E-01	2.60E-01	3.10E-03	8.46E-04	7.70E-03	-1	1.75E-02	2.118	2.404	2.4	2.076	1.873	1.697	1.495	1.346	1.33
0.01853	1.35E+09	1.713389635	1.713	1.092	3.8505	3.934	1	0	0.536	0	0	-1	0	0	7.22E-01	2.60E-01	3.10E-03	8.47E-04	7.70E-03	-1	1.75E-02	2.04	2.33	2.323	1.997	1.794	1.617	1.412	1.262	1.246
0.01853	1.35E+09	1.715255499	1.715	1.094	3.8504	3.931	1	0	0.536	0	0	-1	0	0	7.22E-01	2.61E-01	3.10E-03	8.47E-04	7.70E-03	-1	1.75E-02	2.034	2.324	2.317	1.991	1.787	1.61	1.405	1.255	1.239
0.01853	1.35E+09	1.732049942	1.731	1.117	3.8495	3.909	1	0	0.537	0	0	-1	0	0	7.22E-01	2.61E-01	3.10E-03	8.47E-04	7.70E-03	-1	1.75E-02	1.978	2.271	2.262	1.934	1.729	1.551	1.344	1.193	1.176
0.01853	1.35E+09	1.740005493	1.739	1.128	3.8488	3.898	1	0	0.537	0	0	-1	0	0	7.22E-01	2.61E-01	3.10E-03	8.47E-04	7.70E-03	-1	1.75E-02	1.951	2.247	2.237	1.908	1.701	1.522	1.314	1.162	1.145
0.01853	1.35E+09	1.745573878	1.745	1.135	3.8484	3.89	1	0	0.537	0	0	-1	0	0	7.22E-01	2.61E-01	3.10E-03	8.47E-04	7.70E-03	-1	1.75E-02	1.932	2.23	2.219	1.889	1.682	1.502	1.293	1.14	1.123
0.01853	1.35E+09	1.764755726	1.764	1.161	3.8461	3.86	1	0	0.536	0	0	-1	0	0	7.22E-01	2.61E-01	3.10E-03	8.48E-04	7.71E-03	-1	1.75E-02	1.868	2.175	2.162	1.825	1.614	1.431	1.217	1.06	1.042
0.01853	1.35E+09	1.777427435	1.777	1.177	3.844	3.839	1	0	0.536	0	0	-1	0	0	7.22E-01	2.61E-01	3.10E-03	8.48E-04	7.71E-03	-1	1.76E-02	1.827	2.142	2.127	1.785	1.57	1.383	1.165	1.004	0.986
0.01853	1.35E+09	1.789505839	1.789	1.192	3.8417	3.817	1	0	0.536	0	0	-1	0	0	7.21E-01	2.61E-01	3.10E-03	8.49E-04	7.71E-03	-1	1.76E-02	1.789	2.112	2.096	1.747	1.528	1.338	1.114	0.949	0.931
0.01853	1.35E+09	1.804528356	1.804	1.212	3.8388	3.79	1	0	0.536	0	0	-1	0	0	7.21E-01	2.61E-01	3.10E-03	8.49E-04	7.71E-03	-1	1.76E-02	1.741	2.075	2.057	1.7	1.476	1.28	1.05	0.88	0.861
