#	File	generated	by	CMD	3	(http://stev.oapd.inaf.it/cmd)	on	Sat	May	19	8:11:12	CEST	2018																	
#	isochrones	PARSEC	release	v1.2S	+	COLIBRI	release	"PR16,"	as	in	Marigo	et	al.	2017																
#	Basic	reference:	Marigo	et	al.	"(2017),"	"ApJ,"	"835,"	77																					
#	Photometric	system:	<i>UBVRIJHK</i>	(cf.	Maiz-Apellaniz	2006	+	Bessell	1990)																					
#	O-rich	circumstellar	dust	ignored																										
#	C-rich	circumstellar	dust	ignored																										
#	Kind	of	output:	isochrone	tables																									
#Zini	Age	Mini	Mass	logL	logTe	logg	label	McoreTP	C_O	period0	period1	pmode	Mloss	tau1m	X	Y	Xc	Xn	Xo	Cexcess	Z	mbolmag	Umag	Bmag	Vmag	Rmag	Imag	Jmag	Hmag	Kmag
0.019	5.01E+06	0.090000004	0.09	-1.802	3.4	3.746	0	0	0.545	0	0	-1	8.94E-15	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	9.275	11.864	13.084	11.938	10.59	9.238	7.893	7.329	6.885
0.019	5.01E+06	0.093425535	0.093	-1.785	3.4017	3.752	0	0	0.545	0	0	-1	9.09E-15	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	9.231	11.893	13.06	11.905	10.555	9.192	7.836	7.274	6.832
0.019	5.01E+06	0.102560207	0.103	-1.743	3.4057	3.767	0	0	0.545	0	0	-1	9.39E-15	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	9.127	12.953	13.531	12.338	10.823	9.209	7.522	6.958	6.543
0.019	5.01E+06	0.111469492	0.111	-1.698	3.4102	3.776	0	0	0.545	0	0	-1	9.87E-15	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	9.015	14.002	14.001	12.78	11.094	9.226	7.198	6.63	6.243
0.019	5.01E+06	0.121131569	0.121	-1.665	3.4135	3.792	0	0	0.545	0	0	-1	1.00E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.932	14.728	14.301	13.044	11.253	9.216	6.97	6.402	6.034
0.019	5.01E+06	0.129532576	0.129	-1.624	3.4178	3.798	0	0	0.545	0	0	-1	1.06E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.831	15.099	14.396	13.13	11.281	9.142	6.77	6.207	5.855
0.019	5.01E+06	0.137929216	0.138	-1.594	3.4208	3.806	0	0	0.545	0	0	-1	1.09E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.754	14.913	14.188	12.917	11.112	9.004	6.7	6.149	5.799
0.019	5.01E+06	0.140524074	0.14	-1.587	3.4215	3.81	0	0	0.545	0	0	-1	1.09E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.737	14.874	14.138	12.862	11.07	8.97	6.684	6.137	5.787
0.019	5.01E+06	0.149810001	0.15	-1.548	3.4258	3.817	0	0	0.545	0	0	-1	1.15E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.639	14.612	13.865	12.592	10.854	8.795	6.594	6.062	5.716
0.019	5.01E+06	0.159101546	0.159	-1.516	3.4291	3.824	0	0	0.545	0	0	-1	1.19E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.56	14.416	13.653	12.376	10.682	8.655	6.521	6.001	5.657
0.019	5.01E+06	0.162917331	0.163	-1.502	3.431	3.828	0	0	0.545	0	0	-1	1.21E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.524	14.372	13.575	12.285	10.608	8.593	6.488	5.97	5.63
0.019	5.01E+06	0.174983516	0.175	-1.453	3.437	3.834	0	0	0.545	0	0	-1	1.30E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.402	14.382	13.4	12.042	10.397	8.401	6.371	5.847	5.525
0.019	5.01E+06	0.189376846	0.189	-1.407	3.4424	3.844	0	0	0.545	0	0	-1	1.37E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.286	14.407	13.24	11.813	10.197	8.219	6.26	5.732	5.425
0.019	5.01E+06	0.201684877	0.202	-1.377	3.4459	3.855	0	0	0.545	0	0	-1	1.40E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.213	14.387	13.125	11.656	10.065	8.105	6.193	5.663	5.363
0.019	5.01E+06	0.222466245	0.223	-1.309	3.4548	3.865	0	0	0.545	0	0	-1	1.55E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	8.042	14.115	12.791	11.297	9.765	7.863	6.041	5.504	5.217
0.019	5.01E+06	0.239999905	0.24	-1.264	3.4603	3.876	0	0	0.545	0	0	-1	1.63E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	7.93	13.932	12.574	11.063	9.571	7.708	5.943	5.403	5.122
0.019	5.01E+06	0.252104372	0.252	-1.239	3.4635	3.884	0	0	0.545	0	0	-1	1.67E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	7.866	13.816	12.444	10.926	9.458	7.621	5.888	5.348	5.069
0.019	5.01E+06	0.278277338	0.278	-1.175	3.4716	3.896	0	0	0.545	0	0	-1	1.82E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	7.707	13.474	12.11	10.592	9.181	7.41	5.751	5.208	4.935
0.019	5.01E+06	0.300000012	0.3	-1.131	3.4772	3.907	0	0	0.545	0	0	-1	1.91E-14	0	6.99E-01	2.82E-01	3.43E-03	9.24E-04	8.38E-03	-1	1.91E-02	7.598	13.258	11.888	10.367	8.993	7.266	5.657	5.112	4.842
